Zeit (s) Messreihe_Kern1_5_100_R;Spannung, Ch A (V) Messreihe_Kern1_5_100_R;Spannung, Ch B (V) Messreihe_Kern1_5_100_R;Zeit (s) Messreihe_Kern1_6_100_R;Spannung, Ch A (V) Messreihe_Kern1_6_100_R;Spannung, Ch B (V) Messreihe_Kern1_6_100_R;Zeit (s) Messreihe_Kern1_7_100_R_80;Spannung, Ch A (V) Messreihe_Kern1_7_100_R_80;Spannung, Ch B (V) Messreihe_Kern1_7_100_R_80;Zeit (s) Messreihe_Kern2_8_100_R;Spannung, Ch A (V) Messreihe_Kern2_8_100_R;Spannung, Ch B (V) Messreihe_Kern2_8_100_R;Zeit (s) Messreihe_Kern3_9_100;Spannung, Ch A (V) Messreihe_Kern3_9_100;Spannung, Ch B (V) Messreihe_Kern3_9_100;Zeit (s) Messreihe_Kern3_10_100;Spannung, Ch A (V) Messreihe_Kern3_10_100;Spannung, Ch B (V) Messreihe_Kern3_10_100;Zeit (s) Messreihe_Kern3_11_100;Spannung, Ch A (V) Messreihe_Kern3_11_100;Spannung, Ch B (V) Messreihe_Kern3_11_100;Zeit (s) Messreihe_Kern3_12_100_schleife_Muell;Spannung, Ch A (V) Messreihe_Kern3_12_100_schleife_Muell;Spannung, Ch B (V) Messreihe_Kern3_12_100_schleife_Muell;Zeit (s) Messreihe_Kern3_13_100_schleife;Spannung, Ch A (V) Messreihe_Kern3_13_100_schleife;Spannung, Ch B (V) Messreihe_Kern3_13_100_schleife;Zeit (s) Messreihe_Kern3_14_100_spirale_Muell;Spannung, Ch A (V) Messreihe_Kern3_14_100_spirale_Muell;Spannung, Ch B (V) Messreihe_Kern3_14_100_spirale_Muell;Zeit (s) Messreihe_Kern3_15_100_spirale;Spannung, Ch A (V) Messreihe_Kern3_15_100_spirale;Spannung, Ch B (V) Messreihe_Kern3_15_100_spirale;Zeit (s) Messreihe_Kern4_16_100_R_Muell;Spannung, Ch A (V) Messreihe_Kern4_16_100_R_Muell;Spannung, Ch B (V) Messreihe_Kern4_16_100_R_Muell;Zeit (s) Messreihe_Kern4_17_2_R;Spannung, Ch A (V) Messreihe_Kern4_17_2_R;Spannung, Ch B (V) Messreihe_Kern4_17_2_R;Zeit (s) Messreihe_Kern4_18_2_R;Spannung, Ch A (V) Messreihe_Kern4_18_2_R;Spannung, Ch B (V) Messreihe_Kern4_18_2_R
15,200;-5,361;-0,988;15,200;6,600;-0,020;15,200;0,044;0,229;15,200;-4,541;-0,867;15,200;0,138;0,181;15,200;0,245;0,121;15,200;0,245;0,122;15,200;0,313;0,094;15,200;0,182;0,177;15,200;0,056;0,241;15,200;0,009;0,295;15,200;-4,623;0,006;15,200;0,004;0,079;15,200;0,004;0,044
15,225;-5,362;-0,988;15,225;6,582;-0,019;15,225;0,037;0,232;15,225;-4,541;-0,868;15,225;0,138;0,182;15,225;0,243;0,121;15,225;0,244;0,123;15,225;0,310;0,096;15,225;0,184;0,176;15,225;0,055;0,243;15,225;0,009;0,297;15,225;-4,622;0,005;15,225;0,004;0,080;15,225;0,004;0,045
15,250;-5,367;-0,987;15,250;6,553;-0,020;15,250;0,031;0,234;15,250;-4,541;-0,867;15,250;0,136;0,183;15,250;0,240;0,122;15,250;0,242;0,123;15,250;0,308;0,098;15,250;0,185;0,175;15,250;0,053;0,246;15,250;0,009;0,297;15,250;-4,622;0,006;15,250;0,004;0,079;15,250;0,004;0,046
15,275;-5,372;-0,987;15,275;6,523;-0,020;15,275;0,026;0,233;15,275;-4,541;-0,866;15,275;0,135;0,185;15,275;0,237;0,125;15,275;0,240;0,122;15,275;0,305;0,097;15,275;0,186;0,176;15,275;0,052;0,246;15,275;0,009;0,297;15,275;-4,622;0,006;15,275;0,004;0,078;15,275;0,004;0,044
15,300;-5,401;-0,989;15,300;6,505;-0,021;15,300;0,022;0,234;15,300;-4,541;-0,867;15,300;0,135;0,184;15,300;0,234;0,125;15,300;0,239;0,124;15,300;0,304;0,097;15,300;0,186;0,176;15,300;0,050;0,246;15,300;0,008;0,297;15,300;-4,623;0,006;15,300;0,004;0,079;15,300;0,004;0,044
15,325;-5,449;-0,989;15,325;6,485;-0,020;15,325;0,018;0,235;15,325;-4,541;-0,868;15,325;0,134;0,184;15,325;0,232;0,126;15,325;0,237;0,126;15,325;0,302;0,099;15,325;0,187;0,174;15,325;0,049;0,249;15,325;0,008;0,299;15,325;-4,624;0,005;15,325;0,004;0,080;15,325;0,004;0,045
15,350;-5,511;-0,989;15,350;6,442;-0,020;15,350;0,016;0,236;15,350;-4,542;-0,867;15,350;0,133;0,186;15,350;0,230;0,127;15,350;0,236;0,126;15,350;0,301;0,100;15,350;0,189;0,174;15,350;0,047;0,252;15,350;0,007;0,299;15,350;-4,625;0,005;15,350;0,004;0,080;15,350;0,004;0,046
15,375;-5,582;-0,990;15,375;6,399;-0,022;15,375;0,014;0,235;15,375;-4,562;-0,866;15,375;0,132;0,187;15,375;0,229;0,129;15,375;0,234;0,125;15,375;0,300;0,100;15,375;0,189;0,175;15,375;0,044;0,253;15,375;0,007;0,299;15,375;-4,625;0,006;15,375;0,004;0,078;15,375;0,004;0,044
15,400;-5,650;-0,992;15,400;6,370;-0,022;15,400;0,012;0,236;15,400;-4,598;-0,868;15,400;0,132;0,187;15,400;0,228;0,130;15,400;0,232;0,127;15,400;0,299;0,099;15,400;0,190;0,175;15,400;0,042;0,254;15,400;0,007;0,299;15,400;-4,626;0,006;15,400;0,004;0,080;15,400;0,004;0,044
15,425;-5,707;-0,992;15,425;6,347;-0,021;15,425;0,010;0,237;15,425;-4,630;-0,868;15,425;0,132;0,187;15,425;0,226;0,129;15,425;0,230;0,128;15,425;0,299;0,101;15,425;0,191;0,174;15,425;0,040;0,256;15,425;0,007;0,301;15,425;-4,626;0,005;15,425;0,004;0,081;15,425;0,004;0,045
15,450;-5,753;-0,992;15,450;6,325;-0,021;15,450;0,009;0,238;15,450;-4,671;-0,867;15,450;0,131;0,188;15,450;0,225;0,130;15,450;0,228;0,128;15,450;0,298;0,102;15,450;0,192;0,173;15,450;0,038;0,259;15,450;0,007;0,301;15,450;-4,629;0,005;15,450;0,004;0,079;15,450;0,004;0,046
15,475;-5,797;-0,993;15,475;6,296;-0,022;15,475;0,008;0,237;15,475;-4,726;-0,866;15,475;0,130;0,189;15,475;0,223;0,132;15,475;0,227;0,128;15,475;0,296;0,101;15,475;0,192;0,174;15,475;0,037;0,260;15,475;0,006;0,300;15,475;-4,634;0,007;15,475;0,004;0,078;15,475;0,004;0,044
15,500;-5,839;-0,994;15,500;6,272;-0,023;15,500;0,006;0,237;15,500;-4,765;-0,867;15,500;0,129;0,189;15,500;0,222;0,132;15,500;0,225;0,130;15,500;0,295;0,101;15,500;0,193;0,173;15,500;0,036;0,261;15,500;0,006;0,300;15,500;-4,635;0,007;15,500;0,004;0,079;15,500;2,679E-4;0,045
15,525;-5,886;-0,995;15,525;6,265;-0,022;15,525;0,006;0,239;15,525;-4,795;-0,868;15,525;0,126;0,188;15,525;0,222;0,132;15,525;0,224;0,132;15,525;0,293;0,103;15,525;0,194;0,172;15,525;0,035;0,263;15,525;0,007;0,302;15,525;-4,635;0,005;15,525;0,003;0,080;15,525;-6,671E-4;0,046
15,550;-5,923;-0,994;15,550;6,264;-0,021;15,550;0,005;0,239;15,550;-4,822;-0,867;15,550;0,125;0,191;15,550;0,221;0,132;15,550;0,223;0,132;15,550;0,291;0,104;15,550;0,195;0,172;15,550;0,034;0,265;15,550;0,006;0,303;15,550;-4,631;0,005;15,550;4,272E-6;0,080;15,550;-5,817E-4;0,046
15,575;-5,955;-0,995;15,575;6,262;-0,022;15,575;0,005;0,238;15,575;-4,832;-0,867;15,575;0,124;0,193;15,575;0,221;0,134;15,575;0,221;0,131;15,575;0,289;0,104;15,575;0,196;0,173;15,575;0,033;0,266;15,575;0,006;0,302;15,575;-4,575;0,006;15,575;-8,771E-4;0,079;15,575;-0,001;0,044
15,600;-5,980;-0,996;15,600;6,258;-0,023;15,600;0,003;0,238;15,600;-4,875;-0,867;15,600;0,122;0,192;15,600;0,220;0,134;15,600;0,221;0,133;15,600;0,286;0,104;15,600;0,196;0,173;15,600;0,031;0,266;15,600;0,005;0,301;15,600;-4,463;0,006;15,600;-6,329E-4;0,080;15,600;-6,354E-4;0,045
15,625;-5,989;-0,996;15,625;6,256;-0,022;15,625;0,005;0,239;15,625;-4,908;-0,868;15,625;0,121;0,193;15,625;0,219;0,133;15,625;0,220;0,134;15,625;0,284;0,106;15,625;0,198;0,172;15,625;0,030;0,268;15,625;0,005;0,303;15,625;-4,334;0,005;15,625;-5,475E-4;0,081;15,625;-8,893E-4;0,046
15,650;-6,002;-0,996;15,650;6,254;-0,021;15,650;0,006;0,240;15,650;-4,925;-0,867;15,650;0,119;0,194;15,650;0,219;0,134;15,650;0,219;0,134;15,650;0,282;0,107;15,650;0,198;0,171;15,650;0,029;0,271;15,650;0,005;0,304;15,650;-4,238;0,005;15,650;-6,891E-4;0,080;15,650;-0,001;0,046
15,675;-6,009;-0,996;15,675;6,253;-0,023;15,675;0,006;0,239;15,675;-4,926;-0,867;15,675;0,117;0,197;15,675;0,217;0,135;15,675;0,218;0,133;15,675;0,280;0,107;15,675;0,200;0,171;15,675;0,027;0,271;15,675;0,005;0,303;15,675;-4,144;0,006;15,675;-4,572E-4;0,079;15,675;-0,001;0,045
15,700;-6,010;-0,997;15,700;6,253;-0,023;15,700;0,006;0,238;15,700;-4,925;-0,868;15,700;0,115;0,197;15,700;0,216;0,136;15,700;0,216;0,135;15,700;0,278;0,107;15,700;0,201;0,171;15,700;0,026;0,272;15,700;0,005;0,302;15,700;-4,046;0,007;15,700;-3,790E-4;0,080;15,700;-8,527E-4;0,045
15,725;-6,011;-0,997;15,725;6,253;-0,022;15,725;0,006;0,239;15,725;-4,925;-0,868;15,725;0,113;0,197;15,725;0,215;0,136;15,725;0,215;0,137;15,725;0,276;0,109;15,725;0,202;0,170;15,725;0,025;0,274;15,725;0,005;0,304;15,725;-3,925;0,005;15,725;-6,549E-4;0,081;15,725;-7,257E-4;0,046
15,750;-6,012;-0,996;15,750;6,253;-0,022;15,750;0,005;0,239;15,750;-4,925;-0,867;15,750;0,111;0,200;15,750;0,213;0,136;15,750;0,214;0,136;15,750;0,274;0,110;15,750;0,203;0,169;15,750;0,024;0,276;15,750;0,005;0,305;15,750;-3,835;0,005;15,750;-6,305E-4;0,080;15,750;-0,001;0,046
15,775;-6,010;-0,996;15,775;6,253;-0,023;15,775;0,006;0,239;15,775;-4,925;-0,866;15,775;0,109;0,202;15,775;0,212;0,138;15,775;0,213;0,136;15,775;0,273;0,110;15,775;0,204;0,170;15,775;0,023;0,276;15,775;0,004;0,304;15,775;-3,780;0,006;15,775;-3,400E-4;0,079;15,775;-8,502E-4;0,045
15,800;-6,008;-0,997;15,800;6,253;-0,023;15,800;0,006;0,239;15,800;-4,925;-0,867;15,800;0,107;0,203;15,800;0,211;0,138;15,800;0,212;0,137;15,800;0,272;0,110;15,800;0,205;0,170;15,800;0,022;0,277;15,800;0,004;0,303;15,800;-3,745;0,006;15,800;0,028;0,080;15,800;-8,868E-4;0,045
15,825;-6,008;-0,997;15,825;6,253;-0,022;15,825;0,006;0,240;15,825;-4,924;-0,868;15,825;0,105;0,203;15,825;0,209;0,138;15,825;0,211;0,139;15,825;0,271;0,111;15,825;0,206;0,168;15,825;0,021;0,279;15,825;0,004;0,305;15,825;-3,732;0,005;15,825;0,088;0,081;15,825;-9,845E-4;0,046
15,850;-6,007;-0,996;15,850;6,253;-0,022;15,850;0,005;0,239;15,850;-4,925;-0,867;15,850;0,102;0,206;15,850;0,208;0,139;15,850;0,210;0,138;15,850;0,270;0,112;15,850;0,208;0,168;15,850;0,020;0,281;15,850;0,004;0,305;15,850;-3,730;0,005;15,850;0,140;0,079;15,850;4,974E-4;0,046
15,875;-6,008;-0,996;15,875;6,253;-0,023;15,875;0,005;0,239;15,875;-4,925;-0,866;15,875;0,099;0,209;15,875;0,207;0,141;15,875;0,210;0,138;15,875;0,270;0,112;15,875;0,209;0,168;15,875;0,019;0,282;15,875;0,004;0,304;15,875;-3,731;0,006;15,875;0,187;0,078;15,875;4,291E-4;0,045
15,900;-6,007;-0,996;15,900;6,253;-0,023;15,900;0,005;0,238;15,900;-4,925;-0,867;15,900;0,096;0,210;15,900;0,205;0,141;15,900;0,209;0,139;15,900;0,269;0,111;15,900;0,211;0,168;15,900;0,018;0,282;15,900;0,004;0,304;15,900;-3,731;0,006;15,900;0,272;0,080;15,900;0,001;0,045
15,925;-6,013;-0,997;15,925;6,249;-0,022;15,925;0,005;0,240;15,925;-4,924;-0,868;15,925;0,095;0,211;15,925;0,203;0,141;15,925;0,209;0,140;15,925;0,268;0,112;15,925;0,212;0,167;15,925;0,017;0,284;15,925;0,004;0,305;15,925;-3,731;0,005;15,925;0,396;0,080;15,925;0,010;0,046
15,950;-6,019;-0,996;15,950;6,239;-0,022;15,950;0,005;0,240;15,950;-4,925;-0,867;15,950;0,092;0,213;15,950;0,202;0,142;15,950;0,209;0,139;15,950;0,268;0,114;15,950;0,213;0,166;15,950;0,016;0,286;15,950;0,004;0,306;15,950;-3,730;0,005;15,950;0,507;0,078;15,950;0,049;0,047
15,975;-6,031;-0,996;15,975;6,218;-0,023;15,975;0,005;0,239;15,975;-4,926;-0,866;15,975;0,090;0,216;15,975;0,201;0,144;15,975;0,209;0,139;15,975;0,268;0,112;15,975;0,214;0,167;15,975;0,015;0,286;15,975;0,004;0,305;15,975;-3,730;0,007;15,975;0,594;0,077;15,975;0,086;0,045
16,000;-6,045;-0,997;16,000;6,166;-0,023;16,000;0,005;0,239;16,000;-4,926;-0,867;16,000;0,088;0,217;16,000;0,198;0,144;16,000;0,208;0,140;16,000;0,268;0,112;16,000;0,214;0,166;16,000;0,015;0,286;16,000;0,003;0,304;16,000;-3,730;0,007;16,000;0,683;0,078;16,000;0,145;0,044
16,025;-6,082;-0,997;16,025;6,107;-0,023;16,025;0,005;0,240;16,025;-4,926;-0,868;16,025;0,087;0,217;16,025;0,196;0,143;16,025;0,207;0,140;16,025;0,266;0,113;16,025;0,215;0,165;16,025;0,014;0,288;16,025;0,004;0,306;16,025;-3,731;0,005;16,025;0,765;0,079;16,025;0,224;0,045
16,050;-6,140;-0,997;16,050;6,041;-0,024;16,050;0,005;0,240;16,050;-4,926;-0,867;16,050;0,085;0,219;16,050;0,195;0,145;16,050;0,207;0,140;16,050;0,266;0,114;16,050;0,216;0,165;16,050;0,014;0,290;16,050;0,003;0,307;16,050;-3,731;0,005;16,050;0,823;0,077;16,050;0,309;0,045
16,075;-6,218;-0,998;16,075;5,997;-0,025;16,075;0,005;0,239;16,075;-4,926;-0,866;16,075;0,084;0,222;16,075;0,193;0,147;16,075;0,206;0,140;16,075;0,264;0,114;16,075;0,216;0,166;16,075;0,013;0,290;16,075;0,004;0,306;16,075;-3,731;0,006;16,075;0,888;0,076;16,075;0,392;0,044
16,100;-6,277;-1,000;16,100;5,977;-0,025;16,100;0,005;0,239;16,100;-4,943;-0,868;16,100;0,084;0,222;16,100;0,192;0,148;16,100;0,205;0,141;16,100;0,262;0,114;16,100;0,217;0,166;16,100;0,012;0,290;16,100;0,003;0,305;16,100;-3,731;0,006;16,100;0,921;0,077;16,100;0,492;0,043
16,125;-6,319;-1,000;16,125;5,960;-0,024;16,125;0,005;0,240;16,125;-4,973;-0,868;16,125;0,082;0,222;16,125;0,190;0,148;16,125;0,204;0,142;16,125;0,259;0,115;16,125;0,217;0,165;16,125;0,012;0,291;16,125;0,003;0,306;16,125;-3,731;0,005;16,125;0,937;0,078;16,125;0,621;0,044
16,150;-6,365;-1,000;16,150;5,946;-0,024;16,150;0,004;0,240;16,150;-4,997;-0,867;16,150;0,081;0,224;16,150;0,189;0,149;16,150;0,204;0,142;16,150;0,257;0,117;16,150;0,218;0,164;16,150;0,011;0,293;16,150;0,003;0,307;16,150;-3,728;0,005;16,150;0,974;0,077;16,150;0,707;0,044
16,175;-6,415;-1,000;16,175;5,930;-0,025;16,175;0,005;0,239;16,175;-5,038;-0,866;16,175;0,080;0,225;16,175;0,187;0,151;16,175;0,203;0,141;16,175;0,254;0,117;16,175;0,219;0,165;16,175;0,011;0,293;16,175;0,002;0,306;16,175;-3,639;0,007;16,175;1,049;0,076;16,175;0,760;0,043
16,200;-6,467;-1,001;16,200;5,917;-0,026;16,200;0,004;0,239;16,200;-5,061;-0,868;16,200;0,080;0,226;16,200;0,185;0,151;16,200;0,202;0,143;16,200;0,252;0,117;16,200;0,220;0,165;16,200;0,010;0,292;16,200;0,001;0,306;16,200;-3,464;0,007;16,200;1,144;0,076;16,200;0,793;0,042
16,225;-6,528;-1,002;16,225;5,912;-0,025;16,225;0,004;0,240;16,225;-5,060;-0,868;16,225;0,079;0,225;16,225;0,184;0,151;16,225;0,201;0,144;16,225;0,250;0,119;16,225;0,220;0,163;16,225;0,010;0,294;16,225;0,002;0,308;16,225;-3,320;0,005;16,225;1,285;0,077;16,225;0,830;0,044
16,250;-6,600;-1,003;16,250;5,912;-0,025;16,250;0,004;0,240;16,250;-5,070;-0,867;16,250;0,078;0,227;16,250;0,182;0,152;16,250;0,199;0,143;16,250;0,248;0,121;16,250;0,221;0,163;16,250;0,010;0,296;16,250;0,002;0,308;16,250;-3,200;0,005;16,250;1,433;0,076;16,250;0,853;0,044
16,275;-6,679;-1,003;16,275;5,913;-0,025;16,275;0,005;0,239;16,275;-5,101;-0,866;16,275;0,077;0,229;16,275;0,181;0,154;16,275;0,197;0,144;16,275;0,247;0,121;16,275;0,222;0,163;16,275;0,009;0,295;16,275;0,002;0,308;16,275;-3,086;0,006;16,275;1,575;0,074;16,275;0,855;0,043
16,300;-6,747;-1,005;16,300;5,912;-0,026;16,300;0,004;0,239;16,300;-5,111;-0,867;16,300;0,075;0,229;16,300;0,179;0,155;16,300;0,195;0,146;16,300;0,245;0,120;16,300;0,223;0,164;16,300;0,008;0,294;16,300;0,002;0,307;16,300;-2,974;0,006;16,300;1,638;0,075;16,300;0,855;0,042
16,325;-6,791;-1,005;16,325;5,912;-0,025;16,325;0,004;0,240;16,325;-5,111;-0,868;16,325;0,074;0,229;16,325;0,178;0,154;16,325;0,194;0,148;16,325;0,244;0,122;16,325;0,223;0,162;16,325;0,009;0,297;16,325;0,001;0,308;16,325;-2,857;0,005;16,325;1,732;0,075;16,325;0,854;0,044
16,350;-6,803;-1,005;16,350;5,909;-0,025;16,350;0,004;0,240;16,350;-5,113;-0,867;16,350;0,072;0,231;16,350;0,176;0,156;16,350;0,191;0,147;16,350;0,244;0,124;16,350;0,223;0,162;16,350;0,008;0,298;16,350;0,002;0,309;16,350;-2,787;0,005;16,350;1,820;0,074;16,350;0,854;0,044
16,375;-6,804;-1,005;16,375;5,898;-0,025;16,375;0,004;0,239;16,375;-5,147;-0,866;16,375;0,071;0,233;16,375;0,175;0,158;16,375;0,190;0,148;16,375;0,242;0,123;16,375;0,224;0,163;16,375;0,008;0,298;16,375;0,002;0,308;16,375;-2,771;0,006;16,375;1,881;0,073;16,375;0,854;0,043
16,400;-6,805;-1,006;16,400;5,880;-0,026;16,400;0,002;0,239;16,400;-5,182;-0,867;16,400;0,069;0,233;16,400;0,174;0,158;16,400;0,188;0,150;16,400;0,241;0,123;16,400;0,224;0,163;16,400;0,007;0,297;16,400;0,001;0,307;16,400;-2,759;0,006;16,400;1,904;0,074;16,400;0,854;0,042
16,425;-6,805;-1,005;16,425;5,864;-0,025;16,425;-0,007;0,240;16,425;-5,206;-0,868;16,425;0,067;0,234;16,425;0,172;0,158;16,425;0,186;0,152;16,425;0,240;0,124;16,425;0,225;0,162;16,425;0,007;0,298;16,425;0,002;0,308;16,425;-2,750;0,005;16,425;1,902;0,075;16,425;0,853;0,043
16,450;-6,805;-1,005;16,450;5,849;-0,025;16,450;-0,016;0,242;16,450;-5,251;-0,867;16,450;0,065;0,237;16,450;0,170;0,159;16,450;0,184;0,151;16,450;0,239;0,126;16,450;0,226;0,160;16,450;0,007;0,300;16,450;0,002;0,310;16,450;-2,749;0,005;16,450;1,901;0,074;16,450;0,854;0,044
16,475;-6,805;-1,005;16,475;5,833;-0,026;16,475;-0,027;0,242;16,475;-5,304;-0,866;16,475;0,063;0,239;16,475;0,168;0,161;16,475;0,183;0,152;16,475;0,237;0,125;16,475;0,226;0,162;16,475;0,007;0,300;16,475;0,002;0,308;16,475;-2,750;0,006;16,475;1,901;0,073;16,475;0,921;0,042
16,500;-6,805;-1,006;16,500;5,821;-0,027;16,500;-0,039;0,243;16,500;-5,366;-0,868;16,500;0,060;0,240;16,500;0,166;0,162;16,500;0,180;0,154;16,500;0,236;0,125;16,500;0,227;0,162;16,500;0,007;0,299;16,500;0,002;0,308;16,500;-2,750;0,006;16,500;1,901;0,074;16,500;1,035;0,042
16,525;-6,805;-1,006;16,525;5,797;-0,026;16,525;-0,048;0,246;16,525;-5,418;-0,868;16,525;0,059;0,241;16,525;0,164;0,162;16,525;0,178;0,156;16,525;0,235;0,127;16,525;0,228;0,161;16,525;0,006;0,300;16,525;0,002;0,309;16,525;-2,750;0,005;16,525;1,900;0,075;16,525;1,161;0,043
16,550;-6,805;-1,005;16,550;5,776;-0,026;16,550;-0,056;0,248;16,550;-5,459;-0,867;16,550;0,057;0,244;16,550;0,162;0,163;16,550;0,176;0,156;16,550;0,233;0,128;16,550;0,229;0,160;16,550;0,006;0,301;16,550;0,002;0,310;16,550;-2,750;0,005;16,550;1,900;0,074;16,550;1,187;0,043
16,575;-6,805;-1,004;16,575;5,766;-0,027;16,575;-0,066;0,249;16,575;-5,479;-0,866;16,575;0,054;0,247;16,575;0,161;0,166;16,575;0,173;0,156;16,575;0,232;0,128;16,575;0,230;0,161;16,575;0,006;0,301;16,575;0,002;0,309;16,575;-2,750;0,006;16,575;1,900;0,074;16,575;1,198;0,042
16,600;-6,805;-1,006;16,600;5,750;-0,027;16,600;-0,077;0,251;16,600;-5,505;-0,868;16,600;0,052;0,248;16,600;0,160;0,166;16,600;0,171;0,158;16,600;0,230;0,128;16,600;0,230;0,162;16,600;0,006;0,301;16,600;0,002;0,308;16,600;-2,750;0,006;16,600;1,900;0,074;16,600;1,199;0,041
16,625;-6,805;-1,005;16,625;5,729;-0,027;16,625;-0,087;0,254;16,625;-5,542;-0,868;16,625;0,050;0,248;16,625;0,159;0,166;16,625;0,169;0,161;16,625;0,229;0,129;16,625;0,230;0,160;16,625;0,005;0,301;16,625;0,002;0,309;16,625;-2,750;0,005;16,625;1,900;0,076;16,625;1,200;0,043
16,650;-6,806;-1,005;16,650;5,703;-0,027;16,650;-0,098;0,257;16,650;-5,600;-0,868;16,650;0,049;0,251;16,650;0,158;0,166;16,650;0,167;0,161;16,650;0,227;0,130;16,650;0,231;0,159;16,650;0,005;0,302;16,650;0,001;0,309;16,650;-2,754;0,005;16,650;1,900;0,074;16,650;1,214;0,043
16,675;-6,809;-1,005;16,675;5,672;-0,028;16,675;-0,110;0,258;16,675;-5,626;-0,866;16,675;0,047;0,254;16,675;0,157;0,168;16,675;0,164;0,162;16,675;0,226;0,130;16,675;0,231;0,160;16,675;0,005;0,302;16,675;0,002;0,309;16,675;-2,758;0,006;16,675;1,900;0,074;16,675;1,254;0,042
16,700;-6,809;-1,006;16,700;5,636;-0,029;16,700;-0,121;0,260;16,700;-5,642;-0,867;16,700;0,045;0,254;16,700;0,157;0,169;16,700;0,162;0,164;16,700;0,224;0,130;16,700;0,231;0,160;16,700;0,005;0,301;16,700;0,002;0,308;16,700;-2,756;0,007;16,700;1,900;0,074;16,700;1,267;0,041
16,725;-6,809;-1,006;16,725;5,611;-0,028;16,725;-0,131;0,264;16,725;-5,661;-0,868;16,725;0,044;0,255;16,725;0,156;0,169;16,725;0,159;0,166;16,725;0,222;0,132;16,725;0,232;0,159;16,725;0,005;0,302;16,725;0,002;0,309;16,725;-2,734;0,005;16,725;1,905;0,075;16,725;1,267;0,042
16,750;-6,809;-1,005;16,750;5,588;-0,028;16,750;-0,145;0,267;16,750;-5,687;-0,867;16,750;0,042;0,258;16,750;0,155;0,169;16,750;0,157;0,167;16,750;0,221;0,134;16,750;0,233;0,159;16,750;0,005;0,303;16,750;0,002;0,310;16,750;-2,660;0,005;16,750;1,908;0,075;16,750;1,270;0,043
16,775;-6,818;-1,005;16,775;5,561;-0,029;16,775;-0,159;0,271;16,775;-5,714;-0,867;16,775;0,040;0,260;16,775;0,154;0,171;16,775;0,154;0,168;16,775;0,219;0,133;16,775;0,233;0,160;16,775;0,005;0,303;16,775;0,002;0,309;16,775;-2,584;0,006;16,775;1,907;0,073;16,775;1,314;0,041
16,800;-6,851;-1,006;16,800;5,544;-0,029;16,800;-0,173;0,274;16,800;-5,740;-0,868;16,800;0,039;0,262;16,800;0,153;0,171;16,800;0,152;0,170;16,800;0,218;0,134;16,800;0,233;0,159;16,800;0,004;0,302;16,800;0,002;0,308;16,800;-2,468;0,006;16,800;1,917;0,074;16,800;1,346;0,041
16,825;-6,904;-1,006;16,825;5,538;-0,028;16,825;-0,183;0,280;16,825;-5,756;-0,868;16,825;0,037;0,262;16,825;0,152;0,170;16,825;0,149;0,172;16,825;0,217;0,135;16,825;0,235;0,158;16,825;0,004;0,303;16,825;0,002;0,309;16,825;-2,367;0,005;16,825;2,045;0,075;16,825;1,348;0,042
16,850;-6,958;-1,006;16,850;5,537;-0,028;16,850;-0,193;0,283;16,850;-5,783;-0,867;16,850;0,035;0,265;16,850;0,151;0,171;16,850;0,147;0,173;16,850;0,216;0,137;16,850;0,236;0,158;16,850;0,004;0,304;16,850;0,002;0,310;16,850;-2,285;0,005;16,850;2,079;0,074;16,850;1,348;0,043
16,875;-6,994;-1,006;16,875;5,537;-0,030;16,875;-0,201;0,286;16,875;-5,836;-0,867;16,875;0,033;0,268;16,875;0,150;0,173;16,875;0,143;0,174;16,875;0,215;0,136;16,875;0,237;0,158;16,875;0,004;0,304;16,875;0,001;0,308;16,875;-2,199;0,006;16,875;2,130;0,073;16,875;1,347;0,041
16,900;-7,037;-1,008;16,900;5,537;-0,030;16,900;-0,209;0,290;16,900;-5,878;-0,868;16,900;0,031;0,269;16,900;0,149;0,174;16,900;0,140;0,177;16,900;0,213;0,136;16,900;0,238;0,158;16,900;0,004;0,303;16,900;0,002;0,308;16,900;-2,100;0,006;16,900;2,203;0,073;16,900;1,370;0,040
16,925;-7,071;-1,008;16,925;5,537;-0,029;16,925;-0,217;0,295;16,925;-5,918;-0,868;16,925;0,029;0,270;16,925;0,148;0,173;16,925;0,136;0,179;16,925;0,212;0,138;16,925;0,239;0,157;16,925;0,004;0,304;16,925;0,002;0,309;16,925;-2,045;0,006;16,925;2,314;0,074;16,925;1,393;0,042
16,950;-7,106;-1,007;16,950;5,538;-0,028;16,950;-0,224;0,300;16,950;-5,936;-0,867;16,950;0,027;0,273;16,950;0,146;0,174;16,950;0,134;0,181;16,950;0,210;0,139;16,950;0,239;0,156;16,950;0,004;0,305;16,950;0,002;0,310;16,950;-2,010;0,005;16,950;2,468;0,073;16,950;1,394;0,043
16,975;-7,141;-1,008;16,975;5,537;-0,029;16,975;-0,229;0,303;16,975;-5,937;-0,867;16,975;0,026;0,276;16,975;0,145;0,176;16,975;0,132;0,182;16,975;0,209;0,139;16,975;0,240;0,157;16,975;0,004;0,305;16,975;0,002;0,309;16,975;-1,951;0,006;16,975;2,630;0,071;16,975;1,394;0,041
